"Пожелаем Америке ГУД БАЙ! https:// twitter.com/innamyflower/s tatus/926516881623789569 …"
"Других дел мало? pic.twitter.com/S3RowdI4wM"
"Царя приговорило Временное правительство... помните?"
"Думаю русофобы Запада на вашей стороне будут, ещё и денег соберут на ваши мероприятия"
"В задачи революции не входило убить царя и тем более семью, суда над ним ждали. Его убили рванувшие "освободить", уверены были что не смогут"
"Какой есть. На то оно и время испытаний, а чем помещичий гнёт лучше был против которого НЕОЖИДАННО ВОССТАЛИ МАССЫ? Царя убили радикалы"
"Но надо начать с Ленина, не правда ли?"
"А что, исключений в мире не бывает, надо делать "как все"?"
"Может рагули правильно сносят памятники вождю мирового пролетариата? Поддерживаете?"
"А мавзолеями не кидаются ни во Франции ни в Германии, не стыдятся своей сложной истории и не рвут и мечут, подчищая как мы и... бандеровцы"
"Отчего тогда такое усердие по устранению памяти о советской созидательной эпохи, когда мы Гитлеру сдачи дали и обрели Ядерный щит?"
"В древности и князей бальзамировали... в мёде"
"Немцы придумали... pic.twitter.com/Y038q9AYBs"
"Ещёнемерлики поставили... себе в вашингтонском обкоме одобрено"
"Может он завещал мавзолей строить? ))) политбюро от имени народа одобрило проект. Через мавзолей прошли сотни миллионов благодарных людей..."
"Завещание в студию... pic.twitter.com/rcR0V8BmNw"
"А много ли сделано по всем завещаниям?"
"Зато окукурузил всю Россию от Кушки до Мурманска, где та в помине не могла расти"
"Хрущёвки, которые не простояли долго... сносятся"
"В 1959 Хиущёва бзикнуло кукурузой в США pic.twitter.com/d5XerQXMxw"
"Это надо каждому посмотреть, чтобы ужаснулись, до чего дошли современеые отрицатели исторических корней в угоду западных русофобий"
"Внутри каждого из нас живёт Правда и будет стыдно за предательство памяти народной https:// twitter.com/SdibqJgth/stat us/925735188172337152 …"
"Всем иудам ратующим за снос и уничтожение исторической памяти посвящается... Поклонской и Кадырову как бездарям в этом тоже самое https:// twitter.com/SdibqJgth/stat us/925735188172337152 …"
"Зато оружие НАТО и США у ИГИЛ, не доказывает ничего кроме поддержки мирного процесса"
