"Schmidt in Hochform - herrlich. Ich hol mir darauf jetzt gleich einen Negerkuß - legger"
"jaja- und die Erde ist eine Scheibe, alle "Flüchtlinge" sind gut, Ärzte, Ingenieure,Raketentechniker und arbeitswillig mit hoher Bildung"
"Der immmer leicht spöttisch grinsende Typ ist und bleibt Kommunist."
"Falsch und gesetzeswidrig ist bereits, daß die "Flüchtlinge" überhaupt hier sind"
"Das hat die Politclowns noch nie interessiert. Gesetze sollen nur doe Bürger einhalten und zahlen. Das Parteiensystem ist fertig,kann wg."
"Eine Regierung die es erlaubt derartige "Dokumente" offiziell auszustellen, besteht zu 100% aus Vollidioten."
"Wer grün gewählthat, hat großen Anteil am Verrat an unserem Land."
"Keine Sorge, die werden in Kürze wieder gebraucht"
"Familie und Gedöns mit maximalem Schadenpotenzial für deutsche Steuerzahler"
"Toller Beitrag, wie lange der Euro das durchhält liegt auch am Verhalten der Sparer.5 Billionen liegen fest-wehe die Konten werden gekündigt"
"Die ist sowenig öko wie ein voller Monsantokanister, aber sie hat was mit dem Kanister gemeinsam-sie ist Gift für unser Land."
"Der Euro ist nicht zu retten. Nationale Währungen müssen wieder her, die die Stärken (und Schwächen) der europäischen Nationen spiegeln #EWG"
"Seit Ihr auf Drogen? "Wuchtiger Erfolg" für eine offensichtliche Mogelpackung, die den Wähler verarscht. Was raucht Ihr da am Schreibtisch?"
"Die Aufweichung konservativer Werte begann bereits unter Kohl -mit der widerstandslosen Aufgabe unserer Währung war der Rest vorprogrammiert"
"mmhh,ja, das sieht man jeden Tag, an Vergewaltigungen, Massenschlägereien, Mord und Totschlag, Raub, Diebstahl und NoGo Bezirke."
"Das ist ganz einfach - Hut aufschrauben und abtreten"
"11?! Das bedeutet ja, ein Sechsschüsser bringt auch nichts mehr"
"Die einzige Kontrolle, die den Politclows perfekt gelingt, ist die Kontrolle über den pünktlichen Eingang ihrer Diäten auf dem Konto."
"gaaanz typische Wismarer"
"Eben, der Typ ist alles andere als ein Mißverständnis. Der Rothschildzögling wurde gesetzt"
"Die neuen Nazis? Haben die echt soviel über die Antifa gebracht?"
"Die fressen Kreide, bis die Posten verteilt sind, danach ist hauen und stechen"
"Die Abgewählte und der zukünftig Abgewählte bei der Wort-und Erklärfindung für Volksbetrug."
"...bei gleichzeitiger massiver, sofortiger Ausweisung Illegaler ohne geklärte ID als ersten Schritt"
"Das ist eben genau KEIN Asylgrund. Das ist Beihilfe zur Plünderung deutscher Steuergelder"
"Der sagt höchstens: Mist, aufgeflogen, jetzt ist die großzügige Spende in den Sand gesetzt-o.ä."
"TorBrowser"
"Kein Islam - kein Terror. Mit der Erkenntnis sind die Japaner uns Lichtjahre voraus."
"Eine Schule ist keine Moschee, basta. Also auch kein Teppichknutschen in der Schule"
"So ist es"
"um den muß man sich keine Sorgen machen, der war Kommunist, ist Kommunist und wird immer Kommunist bleiben"
"Ist der "Richter" Musel, gleich als befangen ablehnen. Abgesehn davon , welcher Vollpfosten setzt Araber als Richter ein?"
"....soll heißen, wir sind sowas von linksgewendet, das wir schon nicht mehr wissen wo die Mitte ist."
"ja, so sehn die auch alle aus Tausende für Schleuser gezahlt, Handy..."
"Seehofer dreht sich immer, das ist ein Brummkreisel"
"Tja, schon shit, wenn eine konservative AfD die Kommunisten aus dem Stand locker überholt ,da wirkt man dann als Oberlinker etwas angepisst."
"daran arbeitet das linksgrün versiffte Politikergesocks, gelingen wird es nicht."
"Die Mauermörderpartei hat weder im BT, noch in öffentlichen Äntern was zu suchen. Die Linke gehört verboten"
""Wir wollen erreichen" heißt im Klartext später: wir wollten, aber...... die Grünen."
"Ein leider zutreffender Vergleich, der nachdenklich machen sollte"
""
"Ja, stimmt. Pöbelralle soll ja der Königsmörder gewesen sein. Absolut glaubwürdig, dem ist das zuzutrauen."
"Brüssel hat nichts zu melden. Weder hier, noch in irgendwelchen anderen Staaten Europas"
"Ich bin der festen Überzeugung das sie von den eigenen Leuten gemeuchelt wird. Gut so."
"Solange 5 Billionen Sparerkohle als Pfand zur Verfügung stehen, hat D kein finanzielles Problem. Daher Kohle von den Konten holen"
"Bertelsmannstiftung - alles klar"
"Volksparteien gibt es doch schon lange nicht mehr."
"Rothschildzögling. Wer hat den wirklich gewählt? https:// twitter.com/eysvog3l/statu s/916190155148615682 …"
"by the way - das Ergebnis der Briefwahl der btw2017 habe ich noch nicht gefunden. Weiß jemand mehr?"
"Raffgierig, selbstherrlich, bildungsfrei, und ahnungslos = Grüne https:// twitter.com/thilothielke/s tatus/916061959765872640 …"
"das ist doch der näselnde Typ. der sich für einen Schauspieler hält"
"Die Offiziellen erzählen ohnehin nur was sie wollen- 9/11 läßt grüßen"
"Unglaublich https:// twitter.com/_macmike/statu s/916177263317614593 …"
"unfassbar! Der Typ glaubt er kann die Häuser nach 10 Jahren weiter vermieten Die Dinger sind dann längst Schrott und abrißreif."
"Staatspropagandasender. Schon deswegen muß GEZ weg"
"Gut möglich. Die muß zurückgetreten werden, da die letzte Klatsche offenbar nicht gereicht hat. Ist so wenn Rückgrat und Anstand fehlt"
"Seehofer wird die CSU genauso hinrichten, wie Merkel die CDU - und das ist ja nicht mal schlecht."
"na, das ist ja eine Überraschung. Wäre ich nie drauf gekommen CSU schreit nach unter 30% in Bayern, soll sie haben"
"ich ernähre mich relativ bewußt, da ist Nestle u Co. sowie Produkte die v Monsantoprodukten "bestäubt" wurden wissentlich ausgeschlossen"
"Ist wohl einen neue Art der Bücherverbrennung. Was für ein Bullshit."
"Ganz genau. DAS ist der Grund warum die EU Spanien unterstützt mit aller Härte gegen Abspaltung vorzugehen."
"Der Typ ist ein Blockwart, den muß man nicht ernst nehmen"
"Autovermieter gibt es -zum Glück- wie Sand am Meer"
"Das ist der Typus, den wir früher in der Schule wegen petzen immer verkloppt haben. Herr Lehrer,ich weiß was-armselige Kreatur"
"Warum überhaupt Steuergeld für so einen Mist?"
"im Gegenteil, es wird schlimmer. Jetzt muß das Lügengebilde aus Medien und Politclowns erst recht "verteidigt" werden"
"ja klar die "Welt""
"so ist es. Die EU braucht kein"
"f"
"Die wird sich wundern wenn sie erstmal verheiratet ist , aber Dummheit wird eben bestraft"
"der Versuch ist zwecklos, nur abwählen hilft"
"Von dem Zeug , was der nimmt, sollte er die Finger lassen"
"das wäre zuviel Aufmerksamkeit für solche Einzeller-die alimentiert leben und ansonsten nutzlos sind."
"Noch so ein Vollpfosten, der nicht begriffen hat, daß die Nazis heute Antifa heißen. Links waren die übrigens schon immer"
"Der größte Lump im ganzen Land ist und bleibt der Denunziant. Heute aktueller denn je"
"Sixt-Werbung ist oft provokant, aber (meist) lustig. Die hier ist schwachsinnig und wird ihr Ziel verfehlen"
"Ihr habt nicht alle Latten am Zaun. Und ja, natürlich wird gegen die AfD mit den Methoden von 1933 "gekämpft" Antifa sind die heutigen Nazis"
"Diese Bemerkung sollte Lammert an die Altparteien richten. Sämtlich Antidemokraten d im Parlament mit der Einstellung nichts zu suchen haben"
"Meine Güte, bei dem Bild wartet man förmlich auf den Knall - dann isser geplatzt"
"Ob der Zwerg ein Buch schreibt, oder in China ein Fahrrad umfällt, hat in etwa die gleiche Bedeutung"
"Dem müssen sie ins Hirn geschissen haben, anders ist solch ein Schwachsinn nicht erklärbar."
"es kommt noch wie in den Staaten, unterm Tresen ne Flinte und dann....."
"Sehr interessanter Artikel- lesenswert"
"was für eine Überraschung"
"Bei dem Stichwort "Messer" braucht es keine Täterherkunft - die ist sonnenklar"
"Möglich, es käme darauf an, wie das Ganze umgesetzt wird - und ob der Mut dazu überhaupt da ist"
"So ist es. Und wer zickt, sofort raus- auch das spricht sich bei Wirtschaftsschmarotzern rum"
"GEZ-Zahlung schlicht einstellen - massenweise. Ein deutlicheres Signal gibt es nicht"
"Und der Typ ist in vorderster Reihe der Medienschmarotzer"
"Schritt 2, Rundfunkanstalten in d Ländern weg, es reicht ein Länderstudio und zwar im Wettbewerb zu den Privaten . Keine Zwangsfinanzierung"
"GEZ ist illegal.Rundf-Anst. sind Firmen,keine Behörde. GEZ ist Vertrag zu Lasten Dritter.Die Gauner versuchen das über Lparlam.zu verstecken"
"Und trotz dieser offensichtlichen Volksverarsche bekommt die CDU über 26% (ohne CSU). Ist der Wähler wirklich so dumm?"
"nee, reine Dummheit"
"https://www. youtube.com/watch?v=GTEidD WbDac&sns=tw … via @youtube"
"ich glaube eher, daß es einen Zeitpunkt gibt, wo es gewaltig knallt und das Moslemproblem anders gelöst wird als die "Politclowns" glauben"
"Medienhuren sind alle gleich -Hauptsache Bilder die sich verkaufen lassen und die Welt verarschen. Krank"
"Merke:ALLES Schlechte kommt von links, war schon früher so"
"gut so"
"Seit mehr als 300 Jahre brodelt der Konflikt zwischen Spanien und Katalonien-jetzt bricht er durch-auch weil EU immer gieriger wird."
"Kasperletheater"
"Der Amtseid hat im Bezug auf Konsequenzen bei Bruch keinerlei Bedeutung - reine Show, nichts weiter."
"Nur die illegalen "Syrer" die hier sind, werden mit deutschem Steuergeld alimantiert.Das Ganze fühlt sich wie ein politisches Ränkespiel an"
"Die eigene Dummheit bedroht sie, da hat sie recht. Ist das ne Anstaltsfrisur, die sie trägt? Würde einiges erklären."
"Hoppla, ist Pöbelralle wieder aus dem Wahlergebniskoma erwacht? Jetzt kann er der Niedersachsen SPD "helfen" und AfD-Stimmen generieren"
"das wird nix mit der Unterwerfung, das wird ggf. was ganz anderes. Die Frage ist: ist das dann politisch gewollt?"
"Is die Trulla schon wieder auf Speed?"
"Konsequent, denn der ISlam ist keine Relogion"
"Die Syrer werden zuhause gebraucht- schickt sie endlich zurück"
"Hervorragend - unbedingt lesen und teilen,teilen,teilen"
"so geht das"
"Es geht ja auch nicht um die Illegalen, es geht um die "Lehrer" der Asyllobby, die beinhart abkassieren. Das ist inzwischen ein Kartell"
"Ehemaliger Kommunist? Zweifel sind angebracht."
"Wieviel grünlinke Stimmen brachte eigentlich die Briefwahl?"
"ich lehne es auch ab einer Volksverräterin den Friedensnobelpreis zu verleihen. Gesetzesbrechern Preise zu verleihen wäre krank"
"Überflüssig ist Schäuble und Co."
"veröffentlicht doch mal das Video, damit sich die Öffentlichkeit ein Bild machen kann"
"Haben die noch Abos? Das Schmierblatt taugt nicht mal zum Fisch einwickeln"
"Was wir in Berlin auch für sonderbare Irre durchfüttern ist nicht zu fassen"
"Da hat er -mal wieder- zweifellos recht"
"Sollte sowas dämliches, ohne Ausbildung, nie gearbeitet, Kanzlerkandidatin werden, ist D eindeutig im Arsch"
"Es ist reine Provokation den Tag der offenen Teppichtempel auf den 3.10. zu legen"
"Den Antidemokraten von CDUCSUSPDLINKEFDPGRÜNE bei den nächsten LTWs einfach per X die Jobs wegnehmen"
"in den Beiden? 100%"
"Gute Idee, integrieren werden sich Moslems eh nicht. Spart Geld"
"http://www. pi-news.net/zum-tag-des-of fenen-messers-messerstadt-leipzig/ …"
"na super"
"die grüne Pest gehört zum schlimmsten was in D von Steuergeldern alimentiert wird. Braucht kein"
"wenn da was dran ist......."
"Die Franzosen haben ihre Wirtschaft noch nie richtig im Griff gehabt und hinkten immer hinter D hinterher. Macron will das deutsche Spargeld"
"rMan darf gespannt sein, welche Darstellung sich durchsetzen wird. Unabhängig davon bleibt festzuhalten, die Welt wird immer kranker"
"CDUCSU und Anstand Du kannst aber Schenkelklopfer raushauen"
"Es klappt, wenn jedes Land sich wieder auf seine ureigensten Stärken besinnt und nicht der Globalisierungskarawane folgt"
"ich glaube es ist die einfachste u politisch unschädlichste Art sich beim Wähler einzuschmeicheln wenn sie das irre Gestz kippen-sie tun es"
"das mit den Zwangsabgaben hat sich u.U demnächst erledigt. Der illegale GEZ-Mist steht gehörig unter Druck"
"der Islam ist eine bestialische Ideologie, nichts anderes. Er gehört nicht nach Europa, niemals"
"ja nee, is klar. Posten futsch. Nicht etwa eigene Dämlichkeit ist Schuld , nee- die Anderen natürlich"
"Maas ist Geschichte, sein dämliches Gesetz wird in der Tonne landen, da gehört es hin"
"Die Faschisten sitzen in der Antifa, das sind die neue Nazis. Gleiche Methoden wie früher. Schwachköpfe die nichts begreifen"
"absolut richtig, das ist eher eine Provokation."
"Die EU ist vom Status wirtschaftliche EU in d Status politische EU gewechselt.Das klappt niemals. Wirtschaft ok,aber m nationalen Währungen"
"mit Austritt von GB ist die EU mausetot und die Versager wissen das genau"
"Der ganze GEZ-Mist ist illegal. Es ist nichts anderes als getarnte Verträge zu Lasten Dritter und damit GG widrig."
"Bayern wäre die Belastungsprobe-die wollten sich doch selbständig machen. Wirtschaftlich entspricht das durchaus der Barcelonaregion"
"Das könnte hinkommen."
"Das ist ohnehin ein Ding, nicht geklärte ID, Illegal hier, bei Abschiebung dagegen auf Kosten des Steuerzahlers klagen - absolut krank."
"Der Wicht ist weg vom Fenster"
"es war mindestens ungeschickt derartig vorzugehen. Jetzt ist die Situation eskaliert und wird zum Selbstläufer."
"das ist in etwa der Gedanke, der dahinter steht-kurz: Deutschland zahlt alles"
"Seid Brexit ist die EU erledigt, es fehlen rund 1/3 der Wirtschaftskraft, oder anders- Brexit ist=Die 20 schwächsten EU Mitglieder sind weg."
"Ich würde das auf die ersten beiden Buchstaben reduzieren. EU ist voll im Eimer, Europa hat mit der EU nichts zu tun."
"Ob Referendum illegal ist,ist unerheblich angesichts der Gewalt mit der Madrid reagiert und sich damit als untauglich disqualifiziert"
"Es wird keinen europäischen Einheitsstaat geben. Zurück zu EWG und eigenen Währungen - das hat funktioniert"
"Bei "Studien" ist immer der Auftraggeber/Finanzier Derjenige, der das Ergebnis bestimmt."
"Europa ist ein Erdteil der Einzelstaaten. Die EU ein Kunstprodukt, eh nicht überlebensfähig"
"Madrid hat die Chance verspielt durch demokratische Prozeße katalonien zu halten. Gewalt führt unweigerlich zur Gegengewalt."
"Das Völker sich abspalten ist ja nicht neu - und völlig normal"
"Es wird ihn auch nicht geben"
"Würde wieder reichlich Kohle nicht mehr zur EU fließen, das soll verhindert werden."
"Fas sehen die Katalanen seid langer Zeit ganz anders"
"Katalonien wird sich abspalten, jetzt erst recht"
"Das Deutschland vor der illegalen Invasion war das Deutschland was wir wollen-und das holen wir uns wieder"
"Immer mehr werden wach und auf PC - und das ist gut so"
"Das wird die Spaltung eher beschleunigen. Der EU geht die Hose, das ihr Laden noch schneller auseinanderfliegt."
"Die Besitzer von Gaststätten/Discos usw. bestimmen immer joch selbst wer rein kommt und wer nicht. Und das bleibt auch so"
"Ihr seit Die, die das Land verraten. Die grüne Pest braucht kein"
"#Merkel ist nur noch eine traurige Gestalt. Niemand wird sie ernst nehmen, bei dem Realitätsverlust- und das ist leider nicht ungefährlich."
"Ich suche immer noch die Ergebnisse der Briefwahl. Soll ja ein neuer Rekord gewesen sein. Weiß jemand was?"
"Wer setzt gleich nochmal die Richter des BverfG ein?"
"den linken Vollpfosten geht es nur darum ihr skuriles Weltbild keinesfalls in Frage zu stellen."
