"Какая оказывается мразь, подстилка. "Святые 90-е""
"Совершенно верно! СССР возник на предательстве николая2, уничтожении русского народа. Прозвал народ его "кровавым". А народ получил всеобщее"
"Не надо ля ля! Алфёров - гений, получил в условиях давления на Россию ЗА НАУКУ, ЗА ОТКРЫТИЕ!"
"Уничтожили "николая кровавого", а страна распалась по др причинам. Читай больше!"
"Наташа плохо учила историю и мало читает..."
"Царя не расстреливали. Уничтожили ходока по балеринам, николая кровавого, уничтожавшего русский народ. Предателя, отрекшегося от престола."
"А сейчас ВРАГОВ нет, все жидоворюги такие пушистые! А в трежерисах 109млрд. И либерасты работают не на запад, а на Россию..."
"Работает на врага. Наверняка получает гранты от янки..."
"Правильнее сказать либерастическо-фашистской, другой не бывает."
"Богатые воры во главе с либерастами грефами,... наебулиными богатеют, а бедные становятся нищими..."
"Солженицыну, Сахарову, Горбачёву дали за работу на запад с целью развала СССР. Большое видится на расстоянии."
"Ну и Мединский! У него оказывается крыша не на месте..."
"Неужели приходит конец Кудрину и пр.? http:// mediametrics.ru/rating/ru/hour .html?search=politonline.ru …"
"НЕДОУМОК с претензиями на аналитику"
"Детей жалко, пострадали из-за папеньки, по прозвищу "кровавый" уничтожал русский народ без жалости и трус, сдал страну!"
"Да, для либер-в, ротш-в, рокф-в, воров всех мастей,бандерофашистов и им сочувствующих - ЗЛО! БОЙТЕСЬ! Для россиян, НОРМ людей мира - ДОБРО!"
"Соловьёв с Арменом Гаспаряном сегодня говорили,что в 30г не было врагов. Сталин изверг.А сейчас врагов ещё больше, и некому с ними бороться"
"Да, да, дебилов держали до 8 класса, ставили тройки. Потом пту. А он писать-читать не мог нормально. И работал потом так же, на 2. Вымогал"
"Поддерживаю, эффективный способ. И зряплату урезать на 50%."
"Кишка тонка у Димона! Это ж не сэлфи..."
"Извините, ошибка, не Артур, а Армен"
"@artgas1 Артур! Слышал сег ваше возмущение о Сталине.Я не стор репр. Может вы живописуя, расскажете, кто - НАЦ-ТЬ были исполнит репрессий?"
"Бандерофашисты уже вычислены с адресами, кличками, "заслугами"!"
"Что за пидор? Извращенец!"
"Похоже, что она настойчиво занимается рекламой фильма. Ну что ж, уважим, сходим. Спасибо за подсказку, Наташа!"
"Подозрительные сторонники. Наташа! Напрасно ты пытаешься Николая кровавого обелить, жаль, мы в тебя верили ..."
"Наина И. написала книженцию о "благородных подвигах" ЕБН"
"Ну, попробуй..."
"Хорошая идея"
"На следующий раз американцы изберут президентом сироту..."
"Газманову - РЕСПЕКТ!!!"
"В том, что капитализм, это прекрасно. До вас до сих пор не дошло, что такое власть Рокфеллеров и Ротшильдов?"
"Тормознул Владимир, тормознул... теперь Россия расхлёбывает"
"С ДНЁМ КРЕЩЕНИЯ КИЕВСКОЙ РУСИ - РОССИЙСКОЙ ИМПЕРИИ!Порошенко скоро сбежит в Россию.Или вы сами его повесите за воровство.Народ лучше живёт?"
"Зачем такую муйню сочинять и публиковать? Не нужно обращать внимание! Публикацией продлеваете им жизнь..."
"Сименс не выполняет программу локализации в соотв с договором при покупке 60%акций"Силовых машин",так что пусть не продаёт нам,вернём завод"
"@MedvedevRussia к усилению страны приведут безудержный рост: налогов для быдла и бонусов для чиновников. ТакЪ вижу! pic.twitter.com/a9n0WCrKXV"
"Продали заводы западу.А турбины то произведены на русских заводах-Силовые машины, русскими рабочими. Вернуть завод и послать сименс подпльше"
"Не умеющим жить и воровать как чиновники и депутаты"
"Спасибо ЕБН, создал жизнь для "дорогих россиян", заложил мины под будущее. Создать ему ещё центры презрения!"
"@OGarnaya Она...родимая! Даже крышечка угадывается. https://twitter.com/_nalamansh_/status/887768513884061697/photo/1 pic.twitter.com/FWb7wuNZ0i"
"@PoklonskayaNV Россия, которую мы потеряли. Хрустнул французской булкой. pic.twitter.com/2GNtTTHGgW"
"@OGarnaya Порошенко демонстрируетВСУновую разработку украинскогоВПКдля обнаружения Российской армии Доброго сранку! pic.twitter.com/btbDq3Cz3y"
"НУЖНЫ! Как только янки уберутся из Европы и всех стран, так и мы уедем..."
"@PoklonskayaNV 9 января 2018 года ждём крестный ход по невинно убиенным в СПб пл200 убитых800 раненныхЦарём Низачто. pic.twitter.com/pzVgccxdz7"
"Фашистов не отпевают, их надо сжигать."
"Не надо путать божий дар с яичницей.КрымРоссия завоевала,хохлывовремя развала пытались присвоить,пьяный Ельцын отдал,а трезвый Путин забрал"
"Долгие годы пребывания в инетах прошли даром,Олэна!Западн исслед определили что Иисус из царского рода Давида и Соломона. А евреи это арабы"
"Ты пости фото очередей из Окраины в Российский Крым. А фейкам может верить только слабоумный бандеровец."
"Ну и харя!"
"Не "На" а "В" больничку. А приехал, НА Окраину Российской империи."
"Фашистов надо добивать, а не лечить. Народ не ходит, потому, что прозрел!За что воюют?Умножение состояний правящей клики! Пусть параша помог"
"Жил в Литве 15лет. Знаю литовцев. Рута смелая женщина и по настоящему толерантная..."
"А Бастрыкин Димону не подчиняется?"
"Какой бардак в стране! А где же наш премьер? Ему же все министры подчиняются. Или "рыльце в пушку" не позволяет заняться наведением порядка?"
"Евреям всё сходит с рук..."
"Петя!СССРразвалили предатели.Но в истории без продолжения не бывает.Следующая-ОкраинаРоссийскойимперии.АРоссийская империяУЖЕ! возрождается!"
"Точно,надо возрождатьМалороссию,как евреиГос-во и язык,и начхатьНа либерастическую общественность и её толерантных только к лгбт покровителе"
"Женские или мужские?"
"Наташа!Какой святой?Человек,отказавшийся от престола,предавшийЛЮБОВЬ,стрелявший и хваставший этим,ворон?УбийцаРусских? Умишком слабоват был!"
"Что заслужил,то получил.От престола отказался!Матильду предал!Ходынское поле,убийство русских в ненужных войнах.Умишком слабоват, кровожаден"
"Боб, если не знаешь нашу историю, не надо нам сливать помои западной пропаганды...!"
"Это надо отправить Наташе Полонской"
"Рабы запада толерантного это рагули-бандерофашисты. Вешали уже в Киеве после освобождения и ещё будем вешаь"
"Я понимаю эту фразу, как "СРОК ИСПОЛНЕНИЯ ПРЕЗИДЕНТСКИХ ОБЯЗАННОСТЕЙ". Альтернативы нет..."
"Это увожение к Истории! Настоящая толерантность!"
"Оценивать исторические личности необходимо по совокупности сделанного! А не передёргивать, как предатель Солженицын"
"@A4QmzlyhTQOvbz1 посмотришь твои ретвиты и становится ясно, неадекват, да ещё выступающий за бандерофашистов, убийства детей, женщин,.."
"Ройзман, ты как не совсем нормальный, мог опрашивать только таких как сам, так что, если бы не Сталин, твои предки стали куском мыла..."
"Ты в голландии посмотри, на окраине, в куеве например, в израиле, знаток хренов"
"Чтобы понять что происходит на окраине, надо почитать эти отзывы и все становится ясно.Те кто пишет,какие то дебильноватые, несут чушь тупую"
"Охота ради убийства беззащитного перед ружьём зверя,признак нарушения психики,ущербности,попыток доказать превосходство изуверским способом."
"Красота!"
"Многие "специалисты" окончив ВУЗ, умели изъясниться на иностранном? А по специальности? Были вузы кот шли впереди производства,ост отставали"
"Борец за "справедливость", ...ля!"
"Всё возвращать нельзя!Тогда хватало взяточников в приёмн комис вузов.Не все вузы учили как надо народному хозяйству."Забудь чему тебя учили""
"А денежки то ездят зарабатывать в Россию!"
"Придурок! Бандеровцы под руководсвом янки оккупировали окраину.Организовали войну.А большинство хохлов - трусы! В гейропу захотели! Получили"
"Такие законы могут "рожать" только коррупционеры! Украл сто млн, спрятал, "примерное" поведение, подкуп лагерных, судейских и наслаждайся..."
"Была у нас инфляция -2%, однако инфляция и здоровый аппетит сделали своё дело. Теперь у нас -4%."
"Бог не накажет. Он только смотрит. А наказать их могут только люди, напалмом"
"@Yatsenyuk_AP сеня, ты продолжаешь ещё выступать? А пора уже отвечать за свои дела..."
"@poroshenko ты, гнида бандеровская, помни этого мальчика убитого ТОБОЙ и остальных детей, женщин, стариков, которых ты продолжаешь убивать pic.twitter.com/QNgNbPCc62"
"Почему,ТОЛЬКО после жалобыПрезиденту на пыль вНаходке и тд и тп,чиновники отвлекаются от вымогания откатов?Кто виноват?Президент?Чиновники?"
"Элементаный псих больной(ная). Там нужны были санитары из психушки. Наверняка у оно есть битые хромосомы..."
"Он же сознательно развалил страну, начав "перестройку", пьяница это закончил. А как Крым, спросил Ельцина на сходке хохол, "надо - забирай""
"Кто празднует? Этот день, день позора эльцина с кликой. Это день усекновения СССР, захвата власти либералами, бандитами. Вы что не видите?"
"Пора в психбольницу, "и тебя вылечат"..."
"Нормально, стоя поспите, мудаки"
"Лишить гражданства тебя и отправить в страну-муйдан, может поумнеешь? Или тебя одним из первых на кол!"
"Этот ельцин день больше подходит как день похорон СССР"
"Их надо отправлять на перевоспитание, но не в с/х, а на лесоповал и др. Тяжёлые физически работы."
"КРИСИЯ, ЦЕ ВКРАИНА З ПРИДУРКАМИ ВО ВЛАСТИ."
"Педро продолжает пить и хрюкать на камеру"
"Нагиев, оказывается балбес, из тех, для кого деньги не пахнут, даже вынутые из трусов бузы дузы"
"Либерастят повезли отдохнуть"
"Эк тебя свинорыла зацепило! Фашисты растреливали детей, как сейчас бандерофашисты на Донбассе, брали кровь для солдатОсужденыМеждународ судо"
"ты путаешь! Это всё - ФАШИЗМ! А ваши и шухевич и уголовник бандера - недолюди недоразвитые. Выслуживаясь перед "арийцами" удивляли фашистов"
"Индейцы, коренные жители америки, уничтожались приезжими эуропейцами тысячами. Это зафиксировано документами, фото."
"Надо дать людям работу и никто никуда не будет сбегать! Люди бегут от бандерофашистской власти, работающей на свой карман."
"Не хрен было поддерживать бандерофашистов! Фашистов - на кол!"
"Это кто рекомендовал? Параша и Авакян?"
"Будуть, чи не будуть, а укров янки УЖЕ имеют по полной программе. И В НОВОРОССИИ ВАШИ ТРУПЫ УДОБРЯЮТ ЗЕМЛЮ ДОНБАССА!"
"Да,да! Фурсенко и его посл-тель рыжий, один начал второй продолжил готовить из наших детей ПОТРЕБИТЕЛЕЙ! Вред огромный принесли, но не сидят"
"Запоминаем эти хари, как приедут на зароботки, сдавать их..."
"Вернее, не вписавшаяся в ельцыногайдаровскую чубайсятину..."
"Сейчас зато везде можно видеть поддерживаемую минкультом гомосятину. "Таланта" К. 30-Сребреникова. Поэтому и воруют сотнями млн. руб."
"Знакомая картинка по прыжкам с парашютом!"
"Игла, добрый вечер. Спасибо за помощь. Прочитал Корнилова Донецко Криворожскую республику. Теперь буду знать подробнее историю Донбасса."
"Потому что Пучкова не трогают за 200,а Сердюков с подстилкой?А минкульт отвал-й сотни млн пидорасам? "Все люди равны, но есть более равные.""
"@poroshenko дети Донбасса мечтают закопать Порошенко живым или посадить на кол"
"А минкульту нравится и денежки выделяет сотнями миллионов..."
"Краткость, сестра таланта! Многословят в фейсбуке..."
"Придурок, твоё мнение никого не интересует, кроме либерастов и толерантных к бандерофашистам"
"А бандерофашисты всегда фашисты!Независимо от места жительства и поколения.Одних в схронах закопали,уцелевшие наплодили ещё мяса для уничт-я"
"Народ никогда не вымрет. Земли хватает для всех. И прокормить себя можно земледелием и с.х."
"Поэтому царя-немца и расстреляли большевики."
"Мат - признак недоразвития, легкая степень дебильности. Вроде и норм человек, а откроет рот - явная олигофрения в недогосударстве..."
"Ему пора открывать "Аллею гомиков России в культуре и искусстве". Сотнями млн поддерживает... Правительство у нас,лучше никогда не было ((("
"Если бы ты зимой хоть раз заглянула в хрущобу, в 4метровую кухню, то не писала бы фуйню"
"Мы не нуждаемся в прощении от бандерофашистов.Деды наши закапувалы их в схронах.Придёт время и внуков на кол посадим, сволочей и предателей!"
"А все европейские дворы были кровными родственниками. Ещё с Византийских времен. Чья жена была византийской принцессой?"
"Бу га га, знаток! Австрийского генштаба не существовало, когда в состав Российской империи входила и Польша, и Финляндия."
"Амногонацио-сть, это достоинство!!!КогдаРазные народы дружат,помогают друг другуОНИ СТАНОВЯТСЯ НЕПОБЕДИМЫ!А моногосударстваХИРЕЮТ и вымирают"
"Киев-мать городов РУССКИХ! Киевская Русь развивалась на север, Москва,Тверь окрепли, а Киев ослаб, тк его долбили степняки -хазары, крымчаки"
"Во первых бандерофашисты, уже внуки, вылупились в галычине! При поддержке сшп начали гражданскую войну, против своих. Теперь ждёт вас петля"
"UKR из окраины! Почему ты не в ато-тратато? Пашешь на парашу? И прочих... давай. А лучше по безвизу сортиры мыть гомикам в гейропе"
"Сколько чокнутых на окраине! Пропала окраина, только кнутом можно вылечить. А бандерофашистов - на кол!"
"И среди курсантов ВУЗОВ ПРИДУРКОВ ХВАТАЕТ! СЛАБАКОВ ПОПАВШИХ ПОД ВЛИЯНИЕ БАНДЕРОФАШИСТОВ!"
"Какие вы все недоразвитые! Как была Окраина Росссийской империи, так и осталась! Только теперь бандерофашисты хотят стать окраиной гейропы"
"Придурок! Немцов - как был, так и остался пустым местом! На него никто не обращал внимания! Даже эльцин попробовал дать ему власть, но убрал"
"Педро с компанией! Какие же вы сволочи! Одно слово БАНДЕРОФАШИСТЫ!"
"Дуню вместе с Чубайсом,Масляковым,Серебренниковым на Колыму! Пусть там самовыражаются. А деньги зарабатывают на лесоповале! И Минкульт тоже"
"Да, сразу не обратил внимание на все твои выпады. Зеркало НЕ ТУРЕЦКОЕ! Поддерживаю отечественного производителя, зеркало Московское!"
"Правильно думаешь. Мне хорошо без "ленты", регулярно, более 46 лет."
"Ха ха ха, не угадала, брюха у меня нет! Всякая "висячесть" легко проверяется!"
"Несмотря на прогиб спины, грудь висит... и ни лестница особняка, ни картина в раме под старину не помогут..."
"Ну у у, у нас же министры культуры и образования очень толерантные люди, очень образованные, они лучше знают, что детям и народу надо!"
"Н-да, дряхлеет, дряхлеет, никак не одряхлеет. А СССР РАЗВАЛИЛИ..."
"Давно пора! Ещё добавить, чтобы газовые плитки и колонки произносили: "смерть бандерофашистам"."
"Дык Ресин настроил"бюджетного" жилья, никому не надо, не покупается, придумали программу депортации для москвичей из хрущёвок на 300млрд"
"Не отвертишься! Бандеровская кровь уже во внуках проявляется. Нам глубоко начихать на европидоров, бородатых баб, а бандеровцы своё получат"
"ХА ХА ХА!!! МЫ НЕ СМОТРЕЛИ ПИРШЕСТВО ЕВРОПИДОРОВ, НЕ ЧУВСТВУЕМ СЕБЯ УЩЕМЛЁННЫМИ! ЗА КРУЖЕВНЫМИ ТПРУСИКАМИ В ГЕЙРОПУ СТРЕМЯТСЯ ТОЛЬКО БАНДЕРЫ"
"В гейропе на девочек внимания не обращают! Там толерантно любят мальчиков! Так что готовьте вазелин. В эвр бабы не н только арабские шейхи"
"Как тебе хочется ДАТЬ Путину! Не можешь умолчать! Но ты ни лицом ни фигурой.... бе еее"
"ЗачемНамКонкурсПидоров,волосатыхбабИтрансвеститов?НамТудаНеНада!Это бандерофашистыРвутсяАнаБессмПолк несутМиккимауса. Тарасы Миккимаусовичи"
"Только таким способом их можно ЗАСТАВИТЬ молчать и забыть про бандеру."
"Надо по его свинорылу потоптаться, чтобы глаза повылазили. И пусть живет и помнит! ДОБРО ИМЕЕТ КУЛАКИ!"
"70лет грабили? И не ограбили! А как твои в 90-е выжили? Или в 90-е они уже грабили? И прекрасно себя чувствуют..."
"Как сказал Сергей Михеев на ВестиFM,группами смерти руководили укрыИзХарькова.Теперь ихНадоВылавливать,вывозить в РФ, суд и на КолымуКакСшп"
"Странно, как то так быстро обнаружили, арестовали, убили. Когда так с коррупционерами, в тч в правительстве?"
"Не слушай янки, это выбивают деньги..."
"Ага, посмотри в магазине на еврейские фрукты-овощи. В пустыне выращивают, правда захватили сирийскую территорию с Водой!"
"Когда до него дойдёт,что давно пора в отставку?Или это всё равно нам не поможет?Как сказал Жириновский все воруют,и кому надо знают кто и ск"
"Не трогайте фотографа. Надо ему дать возможность заняться любимым делом. Рулить кабмином не его стезя..."
"100% так."
"Бу га га!!!"
"Естественный процесс. Народы как империи и государства возникают, расцветают, хиреют, исчезают..."
"Развратят и совратят. У девочки язык станет в 1,5 р длиннее. Мужики ходят в подгузниках-круговая мышца попы не держит. Вы этого хотите?"
"Няша не на то, что надо тратит силы и энергию. Могла укрепить имя на чём н. другом - борьбе с коррупцией.И ей и стране больше пользы было бы"
"Там где влезает сшп, везде смерть, разруха... демократия толерантная однако"
"Еврейские бредни."
"Все на кол попадут! Мрази, особенно тот, ряженый, оправдывающий убийства фашистами бандеровцами, детей, женщин, стариков!"
