"pic.twitter.com/PZEd5xSg8U"
"Хорошо, когда не знаешь что это такое, и голова не болит, и кошмары не мучают )"
"По сопатке для юмора"
"Вторая серия, первая была "Матильда""
"Поклонская прокомментировала предложение захоронить тело Ленина — РТ на русском https:// russian.rt.com/russia/news/44 5630-poklonskaya-lenin-kadyrov …"
"Можно и так сказать)))"
"Какое смягчение, любой приговор для него мягкий за то, что он совершил."
"Ну так пусть не пускают, делов то"
"Вот вот, со всех сторон только предложений о покоянии, что не знаешь в какой очередности начать"
"Вроде доцент, умный должен быть, а городит какую то чушь"
"Публичным судом отправить на нары тех кто принес на продажу,принял и кто шил, чтобы неповадно было фашистское дерь@мо распространять"
"Все ноете и ноете, и то вам не так, и это не так, и все плохо, на луне что ли живете ?))"
"Не может никак простить себе, что был членом КПСС )"
"Песков назвал резонансной тему захоронения тела Ленина — РТ на русском https:// russian.rt.com/russia/news/44 5612-peskov-rezonans-zahoronenie-lenin …"
"ФСБ возбудила три уголовных дела из-за подрывов газопроводов в Крыму‍: https:// ria.ru/incidents/2017 1102/1508051554.html …"
"https:// ekburg.tv/novosti/politi ka/2017-11-02/kommunista_i_kandidata_v_sverdlovskie_gubernatory_uvolili_za_proguly?eml …"
"Львица из Крыма родила трех детенышей в екатеринбургском зоопарке: https:// ura.news/news/1052311046 с помощью @ura_ru"
"Нижнему Тагилу вернут выставку военного вооружения https://www. ural.kp.ru/online/news/29 18506/ … #тагил #рф с помощью @UralKp"
"Так вот это и СТЫДОБА и ПОЗОР, что историю своей страны не знают, этим не хвастаются )"
"А ничего, что были две войны????????????"
"Вот с таким оттенком у него и творчество"
"Личное обязательство и электронный браслет: суд отпустил сына Авакова: https:// ria.ru/world/20171102 /1508036700.html …"
"Минобороны назвало заявление коалиции США «географическим абсурдом» https://www. gazeta.ru/army/news/1076 7758.shtml …"
"Браво Георгию Милляру"
"Ну это только в Москве"
"Чет непонятно, у них мозги жиром что ли заплывают?"
"Военный эксперт: Россия готова к финальным ударам по террористам в Сирии: https:// ria.ru/radio_brief/20 171101/1508023480.html …"
"Супер, молодцы pic.twitter.com/r5Mp8YdkNO"
"Вместе с тем, число реабелитированных было около 400 тыс.человек"
"Какие нежности"
"Нашей стране более 1000 лет и если бы не было 4 ноября 1612, то не было бы вообще Руси, в этот день была восстановлена государственность."
"Это повлияет на самих,кто получает зпл в конвертах ПФ формируется из страховых взносов: работодателей,ИП и т.п.
"Громкое заявление делаете, но даже не знаете,что это значимая дата, 04.11.1612 началось восстановление государственной целостности Руси"
"Если я не ошибаюсь то отчисления 22% от начисленной заработной платы"
"И ????? Кроме налога на доходы физ лиц существуют множество статей доходов пополнения бюджета."
"Отмороженный какой то"
"Шайтан за нее помолиться"
"Смешно"
"Эксперт: объекты топливно-энергетического комплекса в Крыму требуют охраны: https:// ria.ru/society/201711 01/1507992037.html …"
"И немалолетних )"
"Мнение: отказ Запада от единого фронта антитеррора провоцирует врагов Крыма: https:// ria.ru/radio_brief/20 171101/1507979297.html …"
"Кто это?"
"Радугу извратили"
"Опять наверное заползли хохлогаденыши- диверсанты"
"Глава «Крымгазсети» заявил о повреждении ещё одного газопровода в Крыму — РТ на русском https:// russian.rt.com/russia/news/44 5134-povrezhdenie-gazoprovod-krym …"
"Всех их надо выдворять из России инача ппц прийдет"
"До ЕС они хотя бы имели свою идентичность, валюту и т.п."
"Судя по вашей логике, то и с гитлером не надо было воевать?"
"pic.twitter.com/uHXfTxPLwo"
"pic.twitter.com/saSKAGTJms"
"Как же надо себя не любить, что бы дерь@ом прикинутся, фуууу"
"))) Так вот они все вместе то и наберут лекторат, запудрят мозги и отберут голоса, а потом скинут их кому нибудь, типа мистеру Х )"
"Нельзя недооценивать противника"
"Вот за счет тех кому нечего сравнивать она и собрается пролезть"
"pic.twitter.com/oKv3HeOzi1"
"А кто они такие, и кто их смотрящим назначил? Привыкли везде лезть и разжигать. А за Европу стыдно, подчиняются стране которой нет и 300 лет"
"Молодец, правильно сказал"
"Украина внесла в ООН обновлённую резолюцию по Крыму — РТ на русском https:// russian.rt.com/ussr/news/4451 11-ukraina-oon-rezolyuciya-krym …"
"Эт точно!"
"ДБ"
"pic.twitter.com/PmkyTmh24s"
"Сами то в это верите ???????"
"Надо и сейчас также изящно национализировать то, что растащили в "святые" 90-е"
"Законы готовят, а вот их исполнение контролируется неудовлетворительно, если даже в Байкал стали выбросы делать, вредители"
"Нашли кому доверить ))"
"Я таких не знаю ))"
"Это две тетеньки или два дяденьки ?"
"Все нормально, ошиблась"
"Подлодка «Великий Новгород» нанесла удар «Калибрами» по ИГ в Сирии // Подробнее на сайте https://www. kommersant.ru/doc/3455415"
"Политолог о миротворцах ООН в Донбассе: Волкер может говорить что угодно: https:// ria.ru/radio_brief/20 171031/1507911313.html …"
"Московский суд арестовал бывшего главу «Нафтогаза Украины» https://www. kp.ru/online/news/29 16629/ … #бакай #москва с помощью @onlinekpru"
"В Совфеде заявили о возможной защите биоматериалов россиян: https:// ria.ru/society/201710 31/1507929090.html …"
"Испанцы и бельгийцы устроили манифестацию у здания, где выступил Пучдемон: https:// ria.ru/world/20171031 /1507924685.html …"
"А в чем проблема с этой стеной, то что визуально "не очень" ?"
"Нам надо с них пример брать"
"Однако..."
"Надо было Матильду по телеку показать и не жадничать ))"
"280, 280, а где они эти 280?? Как было 140 так и осталось. Приходится обходится тремя"
"Вот один из способов pic.twitter.com/ag8ZlTrXdG"
"Вообще да, новость о защите сытина, как то меняет отношение"
"А чего напрягаться, если, согласно декларации за 2016 г, у некоторых депутатов семейный доход более 100 млн,есть и 300А село не их проблемы"
"А это точно он писал???????"
"Курт Волкер исключил участие ДНР и ЛНР в введении миротворцев в Донбасс // Подробнее на сайте https://www. kommersant.ru/doc/3454979"
"Ну что поделаешь, любит он приодеться, пофорсить )"
"Смогут, у них наверняка все схвачено"
"pic.twitter.com/FXe8XWZFWo"
"К этому все и шло"
"Да лааадно, это уже жесть Чего нибудь полегче надо )"
"Правильно сделали"
"В петушарню"
"Голубые береты - цвет неба, интересно, а с чем ассоциируется темно-бордовый, как то непонятно"
"Эксперт: предлагаемый порядок сбора средств за ЖКХ «обелит» статус управляющих компаний — РТ на русском https:// russian.rt.com/russia/news/44 4397-oplata-zhkh-zakonoproekt-minstroi …"
"Спасатели обследовали фюзеляж упавшего возле Шпицбергена Ми-8: https:// ria.ru/world/20171030 /1507805409.html …"
"Певица Екатерина Гордон хочет участвовать в президентских выборах // Подробнее на сайте https://www. kommersant.ru/doc/3454402"
"Моральные уроды, вот так и загадили всю Россию матушку"
"США начинают учения стратегических ядерных сил: https:// ria.ru/world/20171030 /1507787764.html …"
"Тысячи американцев соболезнуют в связи со смертью амурского тигра | Новости | Известия | 30.10.2017 https:// iz.ru/664717/2017-10 -30/tysiachi-amerikantcev-soboleznuiut-v-sviazi-so-smertiu-amurskogo-tigra …"
"Как будто по нему соскучились, может не пытаться"
"Почему же об этом в ООН не говорили ?"
"МИД Сирии: Ракка оккупирована международной коалицией во главе с США https://www. kp.ru/online/news/29 14228/ … #ракка #сша с помощью @onlinekpru"
"Он просто мимо проходил )"
"Да он ДБ на прогулке, что с него взять с нищеброда )"
"Молчали 100 лет, а теперь зачем начинать воду мутить. Всех подняли: Николая II, Троцкого, Ленина и т.д. и т.п... Зачем и с какой целью....."
"Так то запасные он хранил )"
"Они уже всех задолбали"
"Разойдутся, все управляемо"
"Так поняяятно, что уже путаются в своих же показаниях ))"
"А на пенсию уходить неторопится"
"Там же вроде все разрулили, клинтиха виновата, есть доказательства и вот снова новая волна. Палата#6 отдыхает"
"В том то и дело, озвучивать такое при его то должности, абсурд."
"Ну надо же, а от кого это зависит интересно"
"Украинцы возмутились бездействием ВСУ при нападении на часть в Одессе: https:// ria.ru/world/20171029 /1507774855.html …"
"На Урале адвокаты отказались защищать людей по назначению https:// rg.ru/2017/10/29/reg -urfo/na-urale-advokaty-otkazalis-zashchishchat-liudej-po-naznacheniiu.html …"
"Минобороны на видео показало возможности истребителя Су-30СМ: http://www. rbc.ru/rbcfreenews/59 f5a6ce9a794710525d195f …"
"Пушков охарактеризовал спецпредставителя Госдепа по Украине - ИА REGNUM https:// regnum.ru/news/2339509.h tml …"
"В Одессе группа неизвестных попыталась захватить военную часть: http://www. rbc.ru/politics/29/10 /2017/59f5c6759a794717b7cf1f08 …"
"Обломки Ми-8 нашли на дне Гренландского моря https://www. gazeta.ru/social/2017/10 /29/10962290.shtml …"
"Молодец"
"Опять же, стирать помогут))"
"pic.twitter.com/cM2qEcukqc"
"Фотка отретуширована, по жизни она серее ))"
"Высоковато падать"
"Так это спасибо надо сказать тем, кто растаскивал распиливал уничтожал и приводил все в упадок. С таким наследством трудно восстанавливаться"
"Около Шпицбергена обнаружены обломки пропавшего российского вертолёта Ми-8 https:// life.ru/1055794"
"Неправда"
"А он этого и не скрывает ) и, кстати, там дешевле купить чем у нас"
"Отмороженная компания малолетних дебилов"
"Конечно же будУЩее, учитель. https:// twitter.com/AlexeySherbako v/status/924485989212610560 …"
"Циничный кабан"
"ДБ"
"Пусть идет, главное ведь что бы деньги не ушли"
"Пусть шалит, даже забавно"
"Типа того"
"Веселится постоянно озорная Марианна. А чего она все хочет, Не поймёт её никто"
"А зачем так много то, сейчас ночи короткие, всех не успеете охватить )"
"А не пошли бы вы на х@р"
"Согласна, боты мне не нужны, да еще и ночью )))))"
"Разочаровываю??? Так я вроде бы не обещала никого очаровывать и вообще я сама скромность, сегодня ) Спокойной ночки!!"
"Крякать что ли??"
"Они нашли друг друга )"
"Он заигрывает с Вами, Игорь. Говорит что ему приятно, не портите ему впечатление ))))"
"Да нет дяденька, я в теме. А вот с вами сложнее, ошущение,что вы недавно в России, потому и разницу не сечете между 90-ми и сегодняшними"
"Милые ругаются, только тешатся или чешутся )))"
"Если власти нацикам позволют и дальше так себя вести, то в скором времени они могут устроить наподобии волынских событий"
"Прошли уж сутки, а Маришка все лютует ? ))"
"От этого не зависит"
"А вы в каком году в Россию приехали?"
"С ним наверное советуются о планах, раз он в курсе, а может сам принимает участие в их составлении"
"Походу дела и здесь крякать начнут))"
"Формулировку как будто у гозмана списал"
"Боты укры кряквынавальные все повылазили на ленту, как всех закосоеб@ло то, аж жуть )))))"
"Вот порадовал, так порадовал, спасибо за заботу"
"Опять наверное покажут новое видение + любофф"
"А что, она это предлагала??? Странно от нее это слышать"
"Польша готова забрать памятник Папе Римскому, который хотят демонтировать французы | Новости | Пятый канал http://www. 5-tv.ru/news/162382/"
"Так иди к саакашвили"
"Так вот и я о том, что в семье их воспитали, как потребителей"
"Воспитали не пацанов, а каких то женоподобных мальчиков"
"Впечатляет"
"Неожиданный поворот событий"
"В России появится первый частный космический завод https://www. pravda.ru/news/science/2 8-10-2017/1351967-zavod-0/ …"
"Ургант высмеял интервью Собчак в новой пародии — видео - ИА REGNUM https:// regnum.ru/news/2339442.h tml …"
"К поискам пропавшего близ Шпицбергена Ми-8 подключили спасателей МЧС: http://www. rbc.ru/society/28/10/ 2017/59f4bc089a7947d7fbab33c0 …"
"Убыточный «Первый канал» получит еще три млрд рублей от государства: https:// ura.news/news/1052310463 с помощью @ura_ru"
"Находчивые казанские предприниматели продают новые банкноты в 1,5 раза дороже номинала | Новости | Пятый канал http://www. 5-tv.ru/news/162372/"
"Пушков вывел формулу "парадокса Порошенко" https:// life.ru/1055748"
"Учителю надо было по телеку показать и все успокоились бы ) Так нет же, замануху сделали"
"Вот вот "гудбай май лаф гудбай" ("
"А ведь заводы фабрики и т.п. построены в период СССР, который сейчас пытаются заклеймить позором и негативом. Нельзя быть не благодарными!"
"То есть, можно обматерить, послать и тут же удалить, пока не прочитали. Забавненько )))"
"Знали бы, так лучше за шкирку его всем автобусом держали"
"Озвучены герои мультфильма - гениально!!!"
"Разрешили то митинг, а не строительство сцены )"
"А ведь это будующее, ппц"
"Русофоб"
"pic.twitter.com/NDWyNL6R1v"
"Действительно запутались, одних и тех же называют и освободителями и агрессорами. Видать из за вируса "Петя" программа зависла"
"Поступок, достойный уважения и восхищения!!!!!!"
"Медведев вполне может себе позволить купить любые часы, в чем криминал то?"
"Еще нехватало здесь воду мутить, пусть пиз@уют вна Украину и там орут"
"БЕСПРЕДЕЛ"
"pic.twitter.com/eqFjNdXmpY"
"Привыкли комфортно жить на бюджетные денежки"
"Браво"
"pic.twitter.com/v8yv9xxdkJ"
"Что то непонятно, а отвечать когда нибудь начнем или будем только на ток-шоу обсуждать"
"pic.twitter.com/iqS316B03O"
"Конечно же просильщик виноват"
"Ничего себе подружка, сразу в нокаут"
"Оставим, пусть пошепчутся"
"Не обращаем и проходим мимо"
"А что, он разве его потерял???"
"Меня не заведешь, если я сама не захочу завестись"
"Танюсик, я хорооошая pic.twitter.com/mmVGh3jEJz"
"Сразу бы все уехали и контору свою закрыли"
"Пока она собирает надежную команду"
"Выбор не изменится: в Крыму ответили на идею Собчак о новом референдуме: https:// ria.ru/politics/20171 027/1507722264.html …"
"Кандидат в президенты Собчак обнародовала стратегию и свой кошелёк | ПОЛИТИКА | АиФ Урал http://www. ural.aif.ru/politic/kandid at_v_prezidenty_sobchak_obnarodovala_strategiyu_i_svoy_koshelyok …"
"Виталий Милонов вызвал на баттл ловца покемонов Руслана Соколовского https://www. kp.ru/daily/26750.7/ 3779112/ … #милон #россия с помощью @UralKp"
"До сих пор пожинаем и расхлебываем плоды его "президентства""
"Экономист: расширение Россией списка продэмбарго – правильная тенденция: https:// ria.ru/radio_brief/20 171027/1507703277.html …"
"Военный эксперт: на испытаниях "ядерной триады" РФ оценивается слаженность: https:// ria.ru/radio_brief/20 171027/1507676030.html …"
"Шойгу заявил об обострении обстановки на границе России и стран НАТО: https:// ria.ru/defense_safety /20171027/1507698485.html …"
"Парламент Каталонии проголосовал за независимость от Испании: https:// ria.ru/world/20171027 /1507698942.html …"
"Собчак отказалась от агитации в Крыму, предложив провести новый референдум - Политика - МК http://www. mk.ru/politics/2017/ 10/27/sobchak-otkazalas-ot-agitacii-v-krymu-predlozhiv-provesti-novyy-referendum.html …"
"Вообще то ее с мамашкой пригласил Малахов на канале Россия-1"
"Предвыборная компания проходила )"
"Судя по результатам референдума, многие были против развала страны, но мнение большинства оказалось никому не нужным pic.twitter.com/TiL3G5SOsF"
"Прям как из фильма "Джентльмены удачи": "Какая отвратительная рожа""
"Куда уйдет эта независимость, если к ним маджахеды полезут"
"Надо же, он считает себя "зверем", смешно."
"Скорее всего, ее цель вместе с такими же,как она, кандидатами,отобрать голоса,а затем, по договоренности,скинуть их кому то из них"
"Это кто?"
"Он такой же как ты, беспринципный дятел"
"pic.twitter.com/4gASKU9YNp"
"В чем тайна, все давно уже знают и вообще кому они интересны кроме гламура"
"Поклонская ответила Собчак на слова о "генетическом отребье": https:// ria.ru/politics/20171 026/1507602364.html …"
"Поляков, как нацию, спасли от уничтожения, а теперь они же обвиняют Россию"
"Ее цель и ей подобным отобрать голоса при голосовании на выборах, а потом скинуть их своему кандидату"
"Ремонт на проспекте Ленина: всё ли сделано качественно? https://www. uralweb.ru/news/society/4 80784.html …"
"Свердловская область выставила на московской бирже облигации на 5 миллиардов рублей https://www. ural.kp.ru/online/news/29 11048/ … #кулаченко с помощью @UralKp"
"Урал озарило странное желтое свечение https://www. ural.kp.ru/online/news/29 10983/ … #нло #местого с помощью @UralKp"
"Перед мастер-классом о материнстве кандидат в президенты Ксения Собчак встретится с народом https://www. ural.kp.ru/online/news/29 11071/ … с помощью @UralKp"
"В США назвали число граждан России в рядах боевиков ИГ — РТ на русском https:// russian.rt.com/world/news/443 204-ssha-chislo-rossiya-ig …"
"Покушение на Мосийчука: взрыв в Киеве унес жизни двух человек - Происшествия - МК http://www. mk.ru/incident/2017/ 10/26/pokushenie-na-mosiychuka-vzryv-v-kieve-unes-zhizni-dvukh-chelovek.html …"
"Пентагон отреагировал на поставки российского оружия Филиппинам https:// riafan.ru/990245-pentago n-otreagiroval-na-postavki-rossiiskogo-oruzhiya-filippinam … #Пентагон #Филиппины #вооружение"
"Он же себя, наверняка, считает самым крутым, поэтому происходящее вокруг не замечает, потому "первое" Прохожего жаль, который погиб"
"Мосийчук заявил, что это первое покушение подобного уровня на Украине: https:// ria.ru/world/20171026 /1507570814.html …"
"Порошенко поздравил крымско-татарских радикалов с освобождением - ИА REGNUM https:// regnum.ru/news/2338462.h tml …"
"И еще котов любит"
"Боливар двоих не выдержит"
"Успела"
"Пожжжаллуста, поммедленнее, я записссываю Спасибо"
"Этот свин теперь еще больше похудеет от страха"
"Неее, это уже жесть"
"все равно, что перепутать санаторий с крематорием или типа того"
"Подорвали его, а погиб прохожий"
"В дер@ме"
"Шо шо, сам зрозумів, що сказав? )"
"Снова из за этой твари люди пострадали"
""наш", смотря к кому она себя относит, завуалировалась"
"После бани лучше будет"
"Похож на персонаж из "Маски шоу""
"Призывы на них не действуют, это уже доказано временем"
"И чего так долго стояли и смотрели как этот дб пацана бьет, все вместе накостыляли бы ему"
"Теперь туристов за деньги можно водить"
"Удивительно, что этот памятник еще не снесли"
"Нашел чем похвастаться )"
"Спокойно, не надо паники: в случае чрезвычайных обстоятельств."
"О чем вы, какое одиночество? Целая эпоха, в которой жили миллионы людей несколько поколений. И это невозможно, взять, и, выбросить из памяти"
"Малахов сегодня устроил отстой (мое личное мнение).А от нарусовой, сказавшей, что русских надо истребить, вообще воротит"
"ГОСПОДИ, СПАСИ РОССИЮ, НЕ ДАЙ БОГ ................."
"Жирная точка на ней поставлена еще раньше, так что может теперь говорить сколько угодно, она давно себя скомпрометировала"
"Его то что так беспокоит или боиться что не пригласят в сериалах сниматься"
"Владимир Соловьев напомнил Ксении Собчак слова ее отца о «нелепости» считать Крым украинским https://www. kp.ru/online/news/29 09981/ … с помощью @onlinekpru"
"Собчак заявила, что ее нельзя судить за слова о Крыме: https:// ria.ru/politics/20171 025/1507495182.html …"
"Сиди скотобаза под лавкой и не воняй. А если он такой принциптальный не ездил бы за баблом"
"Собчак предлагала Алексею Навальному выдвинуть в президенты его жену https://www. kp.ru/online/news/29 09555/ … #нея с помощью @onlinekpru"
"Новости - наше призвание. РЕН ТВ https:// m.ren.tv/novosti/2017-1 0-25/politicheski-motivirovannoe-reshenie-rf-prizvala-ssha-ostavit-v-pokoe-rossiyskie …"
"BadRabbit: вирус назвали модифицированной версией NotPetya: https:// ria.ru/society/201710 25/1507498521.html …"
"Один раз эти твари сдали страну, вторую серию решили запустить, иуды (мое личное мнение)"
"Ему то зачем так волноваться, он же в Канаде"
"А что с ней не так??)"
"Стажер )"
"«Северный поток — 2» дорого обойдется Киеву https://www. gazeta.ru/business/2017/ 10/24/10955588.shtml …"
"Ельцин Центр отдаст Свердловской области помещения за погашение долга: https:// realty.ria.ru/realtynews/201 71024/1507465694.html …"
"Мнение: Порошенко за "свет в конце тоннеля" в Донбассе принял поезд: https:// ria.ru/radio_brief/20 171024/1507462542.html …"
"Собчак не понимает реальной ситуации по Крыму, считает сенатор: https:// ria.ru/politics/20171 024/1507464201.html …"
"http://www. topnews.ru/news_id_110092 .html …"
"Украинский спецназ разблокировал захваченный радикалами суд Киева http://www. interfax.ru/world/584458"
"ППЦ какой то."
"Когда это он успел ляпнуть?? Меньше бы с бля@ью возился и все было бы нормально"
"А ведь осталось совсем чуть-чуть и....вот она вершина"
"Тем более у него есть приятели из числа московских либералов"
"Депутаты Екатеринбурга решили обсудить, кто должен платить за освещение во дворах https://www. znak.com/2017-10-24/dep utaty_ekaterinburga_reshili_obsudit_kto_dolzhen_platit_za_osvechenie_vo_dvorah …"
"Заочно осужденному в РФ Браудеру выдали разрешение на въезд в США | Новости | Известия | 24.10.2017 https:// iz.ru/662390/2017-10 -24/zaochno-osuzhdennomu-v-rf-brauderu-vydali-razreshenie-na-vezd-v-ssha …"
"Шойгу: ИГ контролирует не более 5% территории Сирии http:// tass.ru/armiya-i-opk/4 671302 …"
"Новейшее оружие НАТО найдено на складе ИГ в Сирии | Новости | Известия | 24.10.2017 https:// iz.ru/662437/2017-10 -24/noveishee-oruzhie-nato-naideno-na-sklade-ig-v-sirii …"
"Почему не пресекаются такие демарши, непонятно. Все в толерантность играют, как бы не доиграться"
"Позор"
"Двое из ларца, одинаковых с лица"
"У писателя а.никонова опять истерика началась, мерзкий тип, такие вот и поддержат собчак (мое личное мнение)"
"Совсем плох"
"В Екатеринбурге обсудят повышение престижа высшего образования » Вечерние ведомости http:// veved.ru/news/95605-v-e katerinburge-obsudyat-povyshenie-prestizha-vysshego-obrazovaniya.html …"
"Напавший на Фельгенгауэр жаловался, что не может найти работу в Израиле: https:// ria.ru/incidents/2017 1023/1507419116.html …"
"Глава экспертного совета ВАК написал заявление об уходе — РТ на русском https:// russian.rt.com/russia/news/44 2452-glava-sovet-vak …"
"Спи@дили называются теперь "святыми 90-ми". А вообще, разговор на эту тему, портит нервную систему. Уезжают пусть гады, которые спи...."
"Действительно pic.twitter.com/glaRXhOSJt"
"От него уже так устали, даже не посмотрев ))"
"Опять какое нибудь новое видение"
"pic.twitter.com/S2BCT1nqxQ"
"НЕ ВЕРЮ"
"Вот хитрожо@ые, еще и условия ставят"
"Закрывать их надо сразу"
"Всех их самих надо проверить на адекват"
"А разве вас кто то держит, собираете вещички и ту ту"
"Конечно в комплекте ))"
"Я только ЗА, что бы достал ))"
"У него тоже не все в порядке с головой, везде Сталин мерещится (мое личное мнение)"
"Власти нужно готовиться к массовым акциям протеста врачей http:// ukraina.ru/news/20171023/ 1019415959.html …"
"Врачи ввели раненую журналистку "Эха Москвы" в состояние искусственной комы: https:// ria.ru/incidents/2017 1023/1507400822.html …"
"«Газпром»: Поставки газа в Европу не включены во взаимоотношения с Украиной - ИА REGNUM https:// regnum.ru/news/2337268.h tml …"
"В Курской области гражданин Украины устроил перестрелку с российскими пограничниками http://www. interfax.ru/russia/584334"
"Порошенко надо о себе теперь беспокоится, в любой момент прийдется чемодан собирать"
"Настроение средней тяжести, шутка Пока все нормально, но все так непредсказуемо и быстро меняется"
"Лимонову"
"Добрый день, Игорь !"
"Причиной нападения на ведущую «Эха Москвы» мог стать личный конфликт | Новости | Известия | 23.10.2017 https:// iz.ru/662077/2017-10 -23/prichinoi-napadeniia-na-vedushchuiu-ekha-moskvy-mog-stat-lichnyi-konflikt …"
"Телебашню в Екатеринбурге снесут "направленным разрушением": https:// ria.ru/society/201710 23/1507378716.html …"
"Если бы избили судью или кого то из его окружения, то наказали бы по полной программе (мое личное мнение)"
"Трамп отметил поддержку Китая в оказании давления на КНДР — РТ на русском https:// russian.rt.com/world/news/442 129-tramp-kitay-davleniye-kndr …"
"В Ельцин-центре во время встречи с режиссером «Матильды» Алексеем Учителем будет усилена охрана // Подробнее на сайт https://www. kommersant.ru/doc/3447263"
"Полиция применила слезоточивый газ против митингующих у Рады: https:// ria.ru/world/20171022 /1507343656.html …"
"Петр Порошенко пообещал сделать все для ввода миротворцев ООН в Донбасс http:// vm.ru/news/426898.ht ml …"
"Курды захватили крупнейшее месторождение нефти в Сирии: https:// ura.news/news/1052309567 с помощью @ura_ru"
"SDF заявили о контроле над нефтяным месторождением в Дейр эз-Зоре - Парламентская газета https://www. pnp.ru/in-world/sdf-z ayavili-o-kontrole-nad-neftyanym-mestorozhdeniem-v-deyr-ez-zore.html …"
"pic.twitter.com/MVGjGAJ8OC"
"Глава ЦРУ рассказал о реакции на возможное исчезновение Ким Чен Ына // Подробнее на сайте https://www. kommersant.ru/doc/3447093"
"Они все к нам перебегут"
"Он еще ответит за Одессу"
"Идиоты, потому что не учились на чужих ошибках, а решили сами пройти тот же путь развала страны"
"Идиоты"
"От некоторых задачек и тестов впечатление, что обкуренные сочиняли, сработано на деградацию"
"Рискованный трюк, вдруг ошибется )"
"циничные твари"
"Как все противно, всякие евро "ценности", толерантность и типа того, ппц"
"Стать безграмотными и вернуться в первобытный строй"
"Вы их так красиво назвали ))"
"А чем закончилась проверка CУ СК РФ по Пермскому краю, ее русофобских высказываний ?"
"Что за шифровка ?("
"Вчера на разных каналах ТВ неоднократно об этом говорили!"
"На нары, пусть почувствует разницу между домашней кроватью и казенными нарами"
"Во-первых не 800, это вы погорячились, мягко говоря. А во-вторых это фотошоп"
"Палубий в закон внесет поплавки и ласклоет тему ))"
"Не полностью тему раскрыла, не хватает напоминания об отвественности аппонента "за базар ответишь""
